ticker,cik,url,urls
INTU,0000896878,https:/www.sec.gov/Archives/edgar/data/896878/0000896878-23-000034.txt,https:/www.sec.gov/Archives/edgar/data/896878/0000896878-23-000034.txt
INTU,0000896878,https:/www.sec.gov/Archives/edgar/data/896878/0000896878-22-000028.txt,https:/www.sec.gov/Archives/edgar/data/896878/0000896878-22-000028.txt
INTU,0000896878,https:/www.sec.gov/Archives/edgar/data/896878/0000896878-21-000233.txt,https:/www.sec.gov/Archives/edgar/data/896878/0000896878-21-000233.txt
INTU,0000896878,https:/www.sec.gov/Archives/edgar/data/896878/0000896878-20-000148.txt,https:/www.sec.gov/Archives/edgar/data/896878/0000896878-20-000148.txt
INTU,0000896878,https:/www.sec.gov/Archives/edgar/data/896878/0000896878-19-000132.txt,https:/www.sec.gov/Archives/edgar/data/896878/0000896878-19-000132.txt
JNJ,0000200406,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-24-000013.txt,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-24-000013.txt
JNJ,0000200406,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-23-000016.txt,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-23-000016.txt
JNJ,0000200406,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-22-000022.txt,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-22-000022.txt
JNJ,0000200406,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-21-000008.txt,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-21-000008.txt
JNJ,0000200406,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-20-000010.txt,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-20-000010.txt
JNJ,0000200406,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-19-000009.txt,https:/www.sec.gov/Archives/edgar/data/200406/0000200406-19-000009.txt
"JPM-PL', 'JPM-PK', 'JPM', 'JPM-PJ', 'JPM-PM', 'JPM-PC', 'AMJB', 'JPM-PD', 'AMJ",0000019617,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-24-000225.txt,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-24-000225.txt
"JPM-PL', 'JPM-PK', 'JPM', 'JPM-PJ', 'JPM-PM', 'JPM-PC', 'AMJB', 'JPM-PD', 'AMJ",0000019617,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-23-000231.txt,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-23-000231.txt
"JPM-PL', 'JPM-PK', 'JPM', 'JPM-PJ', 'JPM-PM', 'JPM-PC', 'AMJB', 'JPM-PD', 'AMJ",0000019617,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-22-000272.txt,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-22-000272.txt
"JPM-PL', 'JPM-PK', 'JPM', 'JPM-PJ', 'JPM-PM', 'JPM-PC', 'AMJB', 'JPM-PD', 'AMJ",0000019617,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-21-000236.txt,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-21-000236.txt
"JPM-PL', 'JPM-PK', 'JPM', 'JPM-PJ', 'JPM-PM', 'JPM-PC', 'AMJB', 'JPM-PD', 'AMJ",0000019617,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-20-000257.txt,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-20-000257.txt
"JPM-PL', 'JPM-PK', 'JPM', 'JPM-PJ', 'JPM-PM', 'JPM-PC', 'AMJB', 'JPM-PD', 'AMJ",0000019617,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-19-000054.txt,https:/www.sec.gov/Archives/edgar/data/19617/0000019617-19-000054.txt
KFY,0000056679,https:/www.sec.gov/Archives/edgar/data/56679/0001628280-23-023772.txt,https:/www.sec.gov/Archives/edgar/data/56679/0001628280-23-023772.txt
KFY,0000056679,https:/www.sec.gov/Archives/edgar/data/56679/0001564590-22-024447.txt,https:/www.sec.gov/Archives/edgar/data/56679/0001564590-22-024447.txt
KFY,0000056679,https:/www.sec.gov/Archives/edgar/data/56679/0001564590-21-034775.txt,https:/www.sec.gov/Archives/edgar/data/56679/0001564590-21-034775.txt
KFY,0000056679,https:/www.sec.gov/Archives/edgar/data/56679/0001564590-20-032398.txt,https:/www.sec.gov/Archives/edgar/data/56679/0001564590-20-032398.txt
KFY,0000056679,https:/www.sec.gov/Archives/edgar/data/56679/0001564590-19-024039.txt,https:/www.sec.gov/Archives/edgar/data/56679/0001564590-19-024039.txt
KO,0000021344,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-24-000009.txt,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-24-000009.txt
KO,0000021344,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-23-000011.txt,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-23-000011.txt
KO,0000021344,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-22-000009.txt,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-22-000009.txt
KO,0000021344,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-21-000008.txt,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-21-000008.txt
KO,0000021344,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-20-000006.txt,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-20-000006.txt
KO,0000021344,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-19-000014.txt,https:/www.sec.gov/Archives/edgar/data/21344/0000021344-19-000014.txt
MCD,0000063908,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-24-000072.txt,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-24-000072.txt
MCD,0000063908,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-23-000012.txt,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-23-000012.txt
MCD,0000063908,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-22-000011.txt,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-22-000011.txt
MCD,0000063908,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-21-000013.txt,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-21-000013.txt
MCD,0000063908,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-20-000022.txt,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-20-000022.txt
MCD,0000063908,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-19-000010.txt,https:/www.sec.gov/Archives/edgar/data/63908/0000063908-19-000010.txt
META,0001326801,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-24-000012.txt,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-24-000012.txt
META,0001326801,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-23-000013.txt,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-23-000013.txt
META,0001326801,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-22-000018.txt,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-22-000018.txt
META,0001326801,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-21-000014.txt,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-21-000014.txt
META,0001326801,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-20-000013.txt,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-20-000013.txt
META,0001326801,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-19-000009.txt,https:/www.sec.gov/Archives/edgar/data/1326801/0001326801-19-000009.txt
