date,ticker,company_name,prc,industry
2022-12-12,AAPL,APPLE INC,144.49001,Technology
2021-07-02,AAPL,APPLE INC,139.96001,Technology
2020-02-20,AAPL,APPLE INC,320.29999,Technology
2020-02-18,AAPL,APPLE INC,319,Technology
2020-12-03,AAPL,APPLE INC,122.94,Technology
2019-06-12,AAPL,APPLE INC,194.19,Technology
2019-06-13,AAPL,APPLE INC,194.14999,Technology
2019-06-10,AAPL,APPLE INC,192.58,Technology
2023-09-06,AAPL,APPLE INC,182.91,Technology
2023-11-02,AAPL,APPLE INC,177.57001,Technology
2020-12-23,AAPL,APPLE INC,130.96001,Technology
2021-04-14,AAPL,APPLE INC,132.03,Technology
2019-06-20,AAPL,APPLE INC,199.46001,Technology
2023-01-10,AAPL,APPLE INC,130.73,Technology
2023-10-20,AAPL,APPLE INC,172.88,Technology
2020-04-23,AAPL,APPLE INC,275.03,Technology
2022-12-14,AAPL,APPLE INC,143.21001,Technology
2022-11-15,AAPL,APPLE INC,150.03999,Technology
2022-11-09,AAPL,APPLE INC,134.87,Technology
2019-06-25,AAPL,APPLE INC,195.57001,Technology
2021-08-30,AAPL,APPLE INC,153.12,Technology
2023-08-03,AAPL,APPLE INC,191.17,Technology
2022-05-18,AAPL,APPLE INC,140.82001,Technology
2022-05-31,AAPL,APPLE INC,148.84,Technology
2020-04-22,AAPL,APPLE INC,276.10001,Technology
2021-03-16,AAPL,APPLE INC,125.57,Technology
2019-02-25,AAPL,APPLE INC,174.23,Technology
2022-11-29,AAPL,APPLE INC,141.17,Technology
2022-02-17,AAPL,APPLE INC,168.88,Technology
2021-12-17,AAPL,APPLE INC,171.14,Technology
2019-06-06,AAPL,APPLE INC,185.22,Technology
2022-09-23,AAPL,APPLE INC,150.42999,Technology
2020-03-05,AAPL,APPLE INC,292.92001,Technology
2022-09-13,AAPL,APPLE INC,153.84,Technology
2022-09-09,AAPL,APPLE INC,157.37,Technology
2020-07-09,AAPL,APPLE INC,382.73001,Technology
2020-04-27,AAPL,APPLE INC,283.17001,Technology
2022-08-29,AAPL,APPLE INC,161.38,Technology
2020-09-18,AAPL,APPLE INC,106.84,Technology
2021-11-11,AAPL,APPLE INC,147.87,Technology
2020-03-13,AAPL,APPLE INC,277.97,Technology
2021-12-21,AAPL,APPLE INC,172.99001,Technology
2022-08-26,AAPL,APPLE INC,163.62,Technology
2022-08-25,AAPL,APPLE INC,170.03,Technology
2022-08-12,AAPL,APPLE INC,172.10001,Technology
2021-08-12,AAPL,APPLE INC,148.89,Technology
2020-04-28,AAPL,APPLE INC,278.57999,Technology
2022-08-11,AAPL,APPLE INC,168.49001,Technology
2020-06-04,AAPL,APPLE INC,322.32001,Technology
2022-08-08,AAPL,APPLE INC,164.87,Technology
2022-07-19,AAPL,APPLE INC,151,Technology
2020-05-04,AAPL,APPLE INC,293.16,Technology
2022-08-04,AAPL,APPLE INC,165.81,Technology
2019-07-15,AAPL,APPLE INC,205.21001,Technology
2019-11-04,AAPL,APPLE INC,257.5,Technology
2020-09-04,AAPL,APPLE INC,120.96,Technology
2020-09-02,AAPL,APPLE INC,131.39999,Technology
2022-08-03,AAPL,APPLE INC,166.13,Technology
2022-08-02,AAPL,APPLE INC,160.00999,Technology
2020-12-07,AAPL,APPLE INC,123.75,Technology
2023-08-21,AAPL,APPLE INC,175.84,Technology
2023-01-17,AAPL,APPLE INC,135.94,Technology
2020-11-27,AAPL,APPLE INC,116.59,Technology
2022-03-18,AAPL,APPLE INC,163.98,Technology
2022-07-22,AAPL,APPLE INC,154.09,Technology
2022-06-10,AAPL,APPLE INC,137.13,Technology
2020-07-29,AAPL,APPLE INC,380.16,Technology
2020-07-22,AAPL,APPLE INC,389.09,Technology
2022-02-28,AAPL,APPLE INC,165.12,Technology
2019-07-17,AAPL,APPLE INC,203.35001,Technology
2022-12-21,AAPL,APPLE INC,135.45,Technology
2022-06-23,AAPL,APPLE INC,138.27,Technology
2021-03-11,AAPL,APPLE INC,121.96,Technology
2023-02-01,AAPL,APPLE INC,145.42999,Technology
