Ticker,Year,artificial intelligence,AI,ESG
ACN,2021,0,0,0
ACN,2021,0,0,0
ACN,2021,0,0,0
ACN,2021,0,0,0
ACN,2021,0,0,0
ACN,2021,0,0,0
ACN,2021,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2022,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ACN,2023,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2019,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2020,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
